start,dur,text
901.3,3.43,lecture we will look at how to get
903.28,10.3,started with docker
904.73,11.65,[Music]
913.58,6.16,we will now see how to get started with
916.38,5.31,docker now docker has two editions the
919.74,4.92,Community Edition and the Enterprise
921.69,5.7,Edition the Community Edition is the set
924.66,5.07,of free docker products the Enterprise
927.39,4.65,Edition is the certified and supported
929.73,4.68,container platform that comes with
932.04,5.4,enterprise add-ons like the image
934.41,4.56,management image security Universal
937.44,3.87,control plane for managing and
938.97,4.89,orchestrating container runtimes but of
941.31,4.2,course these come with a price we will
943.86,3.42,discuss more about container
945.51,4.95,orchestration later in this course
947.28,5.31,and along with some alternatives for now
950.46,4.77,we will go ahead with the community
952.59,6.27,edition the community edition is
955.23,7.41,available on Linux Mac Windows or on
958.86,6.27,cloud platforms like AWS or Azure in the
962.64,4.56,upcoming demo we will take a look at how
965.13,6,to install and get started with docker
967.2,6.45,on a Linux system now if you are on Mac
971.13,6.03,or Windows you have two options either
973.65,5.85,install a Linux VM using VirtualBox or
977.16,4.74,some kind of virtualization platform and
979.5,4.77,then follow along with the upcoming demo
981.9,4.95,which is really the most easiest way to
984.27,5.25,get started with docker the second
986.85,5.04,option is to install docker Desktop for
989.52,5.43,Mac or the docker desktop for Windows
991.89,4.41,which are native applications so if that
994.95,3.78,is really what you want
996.3,4.83,check out the docker for Mac and the
998.73,5.22,windows sections towards the end of this
1001.13,5.61,course and then head back here once you
1003.95,5.34,are all set up we will now head over to
1006.74,7.04,a demo and we will take a look at how to
1009.29,4.49,install docker on a Linux machine
1014.519,8.26,in this demo we look at how to install
1019.539,5.52,and get started with docker first of all
1022.779,5.1,identify a system physical or virtual
1025.059,5.4,machine or laptop that has a supported
1027.879,8.971,operating system in my case I have an
1030.459,7.94,Ubuntu VM go to doctor comm and click on
1036.85,4.38,get docker
1038.399,5.89,you will be taken to the docker engine
1041.23,6.449,Community Edition page that is the free
1044.289,6.74,version that we are after from the
1047.679,7.411,left-hand menu select your system type I
1051.029,5.441,choose Linux in my case and then select
1055.09,4.199,your OS flavor
1056.47,5.939,I choose Ubuntu read through the
1059.289,6.571,prerequisites and requirements your abun
1062.409,5.88,to system must be 64-bit and one of
1065.86,6.149,these supported versions like disco
1068.289,7.71,cosmic Bionic or decennial in my case I
1072.009,10.441,have a bionic version to confirm view
1075.999,10.17,the Etsy release file next uninstall any
1082.45,6.329,older version if one exists so let's
1086.169,4.95,just make sure that there is none on my
1088.779,5.581,host so I'll just copy and paste that
1091.119,6.621,command and I confirm that there are no
1094.36,6.899,older version that exists on my system
1097.74,6.25,the next step is to set up repository
1101.259,5.49,and install the software now there are
1103.99,5.61,two ways to go about this the first is
1106.749,4.981,using the package manager by first
1109.6,4.949,updating the repository using the
1111.73,4.98,apt-get update command then installing
1114.549,4.83,the prerequisite packages and then
1116.71,5.339,adding Dockers of facial GPG keys and
1119.379,5.37,then installing docker but I'm not going
1122.049,5.7,to go that route there is an easier way
1124.749,4.981,if you scroll all the way to the bottom
1127.749,4.17,you will find the instructions to
1129.73,5.699,install docker using the convenience
1131.919,5.58,script it's a script that automates the
1135.429,5.671,entire installation process and works on
1137.499,6.241,most operating systems run the first
1141.1,4.829,command to download a copy of the script
1143.74,3.36,and then run the second command to
1145.929,4.531,execute the script
1147.1,4.68,to install docker automatically give it
1150.46,3.56,a few minutes to complete the
1151.78,2.24,installation
1159.66,4.269,the installation is now
1161.71,4.05,successful that has now checked the
1163.929,5.061,version of docker using the darker
1165.76,7.74,version command we've installed version
1168.99,6.58,19.0 3.1 we will now run a simple
1173.5,5.429,container to ensure everything is
1175.57,7.17,working as expected for this head over
1178.929,5.821,to docker hub at hub docker calm here
1182.74,6.15,you will find a list of the most popular
1184.75,5.37,docker images like nginx MongoDB Alpine
1188.89,4.62,node.js
1190.12,6.99,Redis etc let's search for a fun image
1193.51,6.48,called will see will say is Dockers
1197.11,5.15,version of cows a which is basically a
1199.99,6.12,simple application that friends a cow
1202.26,6.639,saying something in this case it happens
1206.11,5.88,to be a whale copy the docker run
1208.899,6.66,command given here remember to add a
1211.99,5.84,sudo and we will change the message to
1215.559,2.271,hello world
1231.79,5.01,on running this command docker pulls the
1234.46,6.03,image of the whales II application from
1236.8,9.5,docker hub and runs it and we have our
1240.49,8.16,avail saying hello great we're all set
1246.3,4.48,remember for the purpose of this course
1248.65,3.09,you don't really need to setup a dog or
1250.78,3.27,system on your own
1251.74,4.53,we provide hands-on labs that you will
1254.05,4.23,get access to but if you wish to
1256.27,9.12,experiment on your own and follow along
1258.28,9.21,feel free to do so we now look at some
1265.39,3.48,of the docker commands at the end of
1267.49,3.57,this lecture you will go through a
1268.87,4.77,hands-on quiz where you will practice
1271.06,5.7,working with these commands let's start
1273.64,4.95,by looking at docker run command the
1276.76,3.96,docker run command is used to run a
1278.59,4.41,container from an image running the
1280.72,5.13,docker run nginx command will run an
1283,5.79,instance of the nginx application from
1285.85,5.55,the docker host if it already exists if
1288.79,4.92,the image is not present on the host it
1291.4,4.89,will go out to docker hub and pull the
1293.71,5.01,image down but this is only done the
1296.29,5.94,first time for the subsequent executions
1298.72,6.39,the same image will be reused the docker
1302.23,5.1,PS command lists all running containers
1305.11,4.95,and some basic information about them
1307.33,4.92,such as the container ID the name of the
1310.06,3.93,image we used to run the containers the
1312.25,4.77,current status and the name of the
1313.99,6.21,container each container automatically
1317.02,6.09,gets a random ID and name created for it
1320.2,6.27,by docker which in this case is silly
1323.11,7.2,Samet to see all containers running or
1326.47,6.57,not use the - a option this outputs all
1330.31,5.34,running as well as previously stopped or
1333.04,4.86,exited containers we'll talk about the
1335.65,4.5,command and port fields shown in this
1337.9,4.49,output later in this course for now
1340.15,4.98,let's just focus on the basic commands
1342.39,5.08,to stop a running container use the
1345.13,4.65,Tucker stop command but you must provide
1347.47,4.62,either the container ID or the continue
1349.78,4.29,name in the stop command if you're not
1352.09,4.98,sure of the name run the docker PS
1354.07,4.83,command to get it on success you will
1357.07,4.68,see the name printed out and running
1358.9,6.18,docker PS again will show no running
1361.75,5.61,containers running docker PS - a
1365.08,5.4,however shows the container silly summit
1367.36,6.9,and that it is in an accident states a
1370.48,5.52,few seconds ago now what if we don't
1374.26,3.99,want this container lying around
1376,5.58,consuming space what if we want to get
1378.25,5.91,rid of it for good use the docker RM
1381.58,5.64,command to remove a stopped or exited
1384.16,5.43,container permanently if it prints the
1387.22,4.83,name back we're good run the docker PS
1389.59,5.49,command again to verify that it's no
1392.05,5.88,longer present good but what about the
1395.08,5.31,nginx image that was downloaded at first
1397.93,5.97,we're not using that anymore so how do
1400.39,6.03,we get rid of that image but first how
1403.9,5.16,do we see a list of images present on
1406.42,4.98,our hosts run the docker images command
1409.06,4.98,to see a list of available images and
1411.4,6,their sizes on our hosts we have four
1414.04,6.15,images the nginx Redis Ubuntu and Alpine
1417.4,6.39,we will talk about tags later in this
1420.19,5.91,course when we discuss about images to
1423.79,5.51,remove an image that you no longer plan
1426.1,5.94,to use run the docker RM I command
1429.3,4.93,remember you must ensure that no
1432.04,4.08,containers are running off of that image
1434.23,4.71,before attempting to remove the image
1436.12,5.48,you must stop and delete all dependent
1438.94,5.61,containers to be able to delete an image
1441.6,5.86,when we ran the docker run command
1444.55,6.09,earlier it downloaded the Ubuntu image
1447.46,5.52,as it couldn't find one locally what if
1450.64,5.43,we simply want to download the image and
1452.98,5.46,keep so when we run the run docker run
1456.07,5.79,command we don't want to wait for it to
1458.44,5.85,download use the docker pull command to
1461.86,4.2,only pull the image and not run the
1464.29,4.68,container so in this case the docker
1466.06,6.33,pull a bull to come and pulls the Ubuntu
1468.97,5.73,image and stores it on our host let's
1472.39,4.32,look at another example say you were to
1474.7,4.89,run a docker container from an Ubuntu
1476.71,5.37,image when you run the docker run Ubuntu
1479.59,5.58,command it runs an instance of Ubuntu
1482.08,4.92,image and exits immediately if you were
1485.17,3.57,to list the Irani containers you
1487,3.63,wouldn't see the container running if
1488.74,4.02,you list all containers including those
1490.63,5.07,that are stopped you will see that the
1492.76,5.46,new container iran is in an exited state
1495.7,5.55,now why is that
1498.22,5.6,unlike virtual machines containers are
1501.25,5.85,not meant to host an operating system
1503.82,6.01,containers are meant to run a specific
1507.1,4.35,task or process such as to host an
1509.83,4.589,instance of a web server or application
1511.45,5.76,server or a database or simply to carry
1514.419,6.12,some kind of computation or analysis
1517.21,7.02,tasks once the task is complete the
1520.539,6.181,container exits a container only lives
1524.23,4.919,as long as the process inside it is
1526.72,5.28,alive if the web service inside the
1529.149,5.971,container is stopped or crash then the
1532,5.309,container exits this is why when you run
1535.12,5.009,a container from an Ubuntu image it
1537.309,4.86,stops immediately because a bundu is
1540.129,4.861,just an image of an operating system
1542.169,5.281,that is used as the base image for other
1544.99,5.429,applications there is no process or
1547.45,5.88,application running in it by default if
1550.419,5.401,the image isn't running any service and
1553.33,5.579,as is the case with Ubuntu you could
1555.82,5.4,instruct docker to run a process with
1558.909,4.681,the docker run command for example a
1561.22,5.189,sleep command with a duration of 5
1563.59,5.01,seconds when the container starts it
1566.409,5.61,runs the sleep command and goes into
1568.6,5.959,sleep for 5 seconds post which the sleep
1572.019,5.551,command exits and the container stops
1574.559,5.74,what we just saw was executing a command
1577.57,4.41,when we run the container but what if we
1580.299,4.62,would like to execute a command on a
1581.98,4.89,running container for example when I run
1584.919,4.59,the docker PS command I can see that
1586.87,5.659,there is a running container which uses
1589.509,5.55,the Ubuntu image and sleeps 400 seconds
1592.529,4.571,let's say I would like to see the
1595.059,4.47,contents of a file inside this
1597.1,5.34,particular container I could use the
1599.529,5.671,docker exec command to execute a command
1602.44,6.329,on my docker container in this case to
1605.2,6.929,print the contents of the Etsy hosts
1608.769,5.071,file finally let's look at one more
1612.129,4.68,option before we head over to the
1613.84,5.4,practice exercises I'm now going to run
1616.809,5.22,a docker image I developed for a simple
1619.24,6.689,web application the repository name is
1622.029,5.88,code cloud slash simple web app it runs
1625.929,5.61,a simple web server that listens on port
1627.909,6.541,8080 when you run a docker run
1631.539,5.76,like this it runs in the foreground or
1634.45,5.669,in an attached mode meaning you will be
1637.299,5.161,attached to the console or the standard
1640.119,4.29,out of the docker container and you will
1642.46,4.649,see the output of the web service on
1644.409,4.681,your screen you won't be able to do
1647.109,3.66,anything else on this console other than
1649.09,4.649,view the output until this docker
1650.769,7.71,container stops it won't respond to your
1653.739,6.961,inputs press the ctrl + C combination to
1658.479,5.101,stop the container and the application
1660.7,6.599,hosted on the container exits and you
1663.58,6.39,get back to your prompt another option
1667.299,5.72,is to run the docker container in the D
1669.97,6.209,test mode by providing the dash D option
1673.019,5.26,this will run the docker container in
1676.179,4.92,the background mode and you will be back
1678.279,5.911,to your prompt immediately the container
1681.099,4.231,will continue to run in the backend run
1684.19,4.77,the docker PS command
1685.33,5.549,to view the running container now if you
1688.96,5.309,would like to attach back to the running
1690.879,5.91,container later run the docker attach
1694.269,5.73,command and specify the name or ID of
1696.789,5.401,the docker container now remember if you
1699.999,4.89,are specifying the ID of a container in
1702.19,4.919,any docker command you can simply
1704.889,4.71,provide the first few characters alone
1707.109,5.341,just so it is different from the other
1709.599,8.4,container IDs on the host in this case I
1712.45,7.74,specified a 0 for 3 D now don't worry
1717.999,4.711,about accessing the UI of the webserver
1720.19,4.979,for now we will look more into that in
1722.71,5.13,the upcoming lectures for now let's just
1725.169,5.041,understand the basic commands will not
1727.84,4.769,get our hands dirty with the docker CLI
1730.21,4.75,so let's take a look at how to access
1732.609,7.061,the practice lab environments next
1734.96,7.9,[Music]
1739.67,6.67,let me now walk you through the hands-on
1742.86,5.73,lab practice environment the links to
1746.34,4.92,access the labs associated with this
1748.59,6.24,course are available at cold cloud at
1751.26,6.57,code cloud comm slash P slash docker
1754.83,4.35,dash labs this link is also given in the
1757.83,3.57,description of this video
1759.18,4.38,once you're on this page use the links
1761.4,5.79,given there to access the labs
1763.56,6.87,associated to your lecture each lecture
1767.19,5.34,has its own lab so remember to choose
1770.43,5.13,the right lab for your lecture
1772.53,5.55,the labs open up right in your browser I
1775.56,5.25,would recommend to use google chrome
1778.08,4.8,while working with the labs the
1780.81,4.5,interface consists of two parts a
1782.88,4.89,terminal on the left and a quiz portal
1785.31,4.23,on the right the cooze portal on the
1787.77,3.9,right gives you challenges to solve
1789.54,4.29,follow the quiz and try and answer the
1791.67,4.98,questions asked and complete the tasks
1793.83,5.19,given to you each scenario consists of
1796.65,4.35,anywhere from 10 to 20 questions that
1799.02,4.92,needs to be answered within 30 minutes
1801,4.95,to an hour at the top you have the
1803.94,4.2,question numbers below that is the
1805.95,3.06,remaining time for your lab below that
1808.14,2.73,is the question
1809.01,4.2,if you're not able to solve the
1810.87,4.53,challenge look for hints in the hints
1813.21,4.08,section you may skip a question by
1815.4,4.56,hitting the skip button in the top right
1817.29,5.19,corner but remember that you will not be
1819.96,5.43,able to go back to a previous question
1822.48,5.43,once you have skipped if the quiz portal
1825.39,5.73,gets stuck for some reason click on the
1827.91,9.84,quiz portal tab at the top to open the
1831.12,7.439,quiz portal in a separate window the
1837.75,2.85,terminal
1838.559,4.5,gives you access to a real system
1840.6,4.47,running docker you can run any docker
1843.059,4.5,command here and run your own containers
1845.07,4.29,or applications you would typically be
1847.559,4.771,running commands to solve the tasks
1849.36,4.26,assigned in the quiz portal you may play
1852.33,3.419,around and experiment with this
1853.62,4.23,environment but make sure you do that
1855.749,4.231,after you've gone through the quiz so
1857.85,5.789,that your work does not interfere with
1859.98,6.24,the tasks provided by the quiz so let me
1863.639,4.981,walk you through a few questions there
1866.22,4.14,are two types of questions each lab
1868.62,4.259,scenario starts with a set of
1870.36,4.86,exploratory multiple-choice questions
1872.879,4.26,where you're asked to explore and find
1875.22,5.22,information in the given environment and
1877.139,5.461,select the right answer this is to get
1880.44,4.26,you familiarized with a set up you are
1882.6,5.1,then asked to perform tasks like run a
1884.7,6.75,container stop them delete them build
1887.7,5.76,your own image etc here the first
1891.45,4.16,question asks us to find the version of
1893.46,4.86,docker server engine running on the host
1895.61,4.98,run the docker reversion command in the
1898.32,4.77,terminal and identify the right version
1900.59,6.909,then select the appropriate option from
